sync_index,cam_id,frame_index,frame_time,object_id,keypoint_id,img_loc_x,img_loc_y,obj_loc_x,obj_loc_y,obj_loc_z
0,0,0,0.000000,0,0,1536.288330,588.361877,0.050000,0.050000,0.000000
0,0,0,0.000000,0,1,1464.507690,591.024048,0.100000,0.050000,0.000000
0,0,0,0.000000,0,2,1394.780029,591.790833,0.150000,0.050000,0.000000
0,0,0,0.000000,0,3,1326.756470,594.240662,0.200000,0.050000,0.000000
0,0,0,0.000000,0,4,1533.985352,655.285400,0.050000,0.100000,0.000000
0,0,0,0.000000,0,5,1462.636719,656.585571,0.100000,0.100000,0.000000
0,0,0,0.000000,0,8,1532.793579,723.949036,0.050000,0.150000,0.000000
0,0,0,0.000000,0,9,1459.164185,723.938477,0.100000,0.150000,0.000000
0,0,0,0.000000,0,12,1531.083252,794.313293,0.050000,0.200000,0.000000
0,0,0,0.000000,0,13,1456.027710,793.315674,0.100000,0.200000,0.000000
0,0,0,0.000000,0,14,1383.003296,793.086487,0.150000,0.200000,0.000000
0,0,0,0.000000,0,15,1313.320801,792.461243,0.200000,0.200000,0.000000
0,0,0,0.000000,0,16,1529.540161,867.580566,0.050000,0.250000,0.000000
0,0,0,0.000000,0,17,1452.797607,865.401001,0.100000,0.250000,0.000000
0,0,0,0.000000,0,18,1379.701538,863.198975,0.150000,0.250000,0.000000
0,0,0,0.000000,0,19,1307.351440,862.613037,0.200000,0.250000,0.000000
0,0,0,0.000000,0,20,1526.828857,941.541992,0.050000,0.300000,0.000000
0,0,0,0.000000,0,21,1450.554810,939.113708,0.100000,0.300000,0.000000
0,0,0,0.000000,0,22,1375.602173,936.543030,0.150000,0.300000,0.000000
0,0,0,0.000000,0,23,1302.356567,933.813354,0.200000,0.300000,0.000000
0,1,0,0.000000,0,0,645.627930,353.447662,0.050000,0.050000,0.000000
0,1,0,0.000000,0,1,600.767334,360.535889,0.100000,0.050000,0.000000
0,1,0,0.000000,0,2,555.622375,366.713135,0.150000,0.050000,0.000000
0,1,0,0.000000,0,4,651.104553,398.696655,0.050000,0.100000,0.000000
0,1,0,0.000000,0,5,606.705505,404.766144,0.100000,0.100000,0.000000
0,1,0,0.000000,0,8,657.132690,442.704926,0.050000,0.150000,0.000000
0,1,0,0.000000,0,9,613.148315,450.513702,0.100000,0.150000,0.000000
0,1,0,0.000000,0,12,662.459961,486.619568,0.050000,0.200000,0.000000
