sync_index,cam_id,frame_index,frame_time,object_id,keypoint_id,img_loc_x,img_loc_y,obj_loc_x,obj_loc_y,obj_loc_z
0,0,0,0.000000,0,0,1284.709839,1398.564209,0.050000,0.050000,0.000000
0,0,0,0.000000,0,1,1367.246948,1401.031982,0.100000,0.050000,0.000000
0,0,0,0.000000,0,2,1451.299927,1403.737183,0.150000,0.050000,0.000000
0,0,0,0.000000,0,3,1536.950439,1404.981567,0.200000,0.050000,0.000000
0,0,0,0.000000,0,4,1285.267090,1314.311646,0.050000,0.100000,0.000000
0,0,0,0.000000,0,5,1365.848877,1314.498535,0.100000,0.100000,0.000000
0,0,0,0.000000,0,6,1450.234985,1316.401855,0.150000,0.100000,0.000000
0,0,0,0.000000,0,7,1534.662964,1318.710815,0.200000,0.100000,0.000000
0,0,0,0.000000,0,8,1287.305664,1231.484619,0.050000,0.150000,0.000000
0,0,0,0.000000,0,9,1367.695557,1231.472168,0.100000,0.150000,0.000000
0,0,0,0.000000,0,10,1449.360718,1233.140137,0.150000,0.150000,0.000000
0,0,0,0.000000,0,11,1531.417725,1234.687988,0.200000,0.150000,0.000000
0,0,0,0.000000,0,12,1289.310059,1149.944946,0.050000,0.200000,0.000000
0,0,0,0.000000,0,13,1368.426514,1150.606567,0.100000,0.200000,0.000000
0,0,0,0.000000,0,14,1449.187012,1150.679443,0.150000,0.200000,0.000000
0,0,0,0.000000,0,15,1530.997192,1151.440430,0.200000,0.200000,0.000000
0,0,0,0.000000,0,16,1289.287109,1071.240723,0.050000,0.250000,0.000000
0,0,0,0.000000,0,17,1367.692871,1071.325439,0.100000,0.250000,0.000000
0,0,0,0.000000,0,18,1448.651123,1070.754761,0.150000,0.250000,0.000000
0,0,0,0.000000,0,19,1529.567139,1070.473755,0.200000,0.250000,0.000000
0,0,0,0.000000,0,20,1290.793335,994.241394,0.050000,0.300000,0.000000
0,0,0,0.000000,0,21,1369.116333,992.804260,0.100000,0.300000,0.000000
0,0,0,0.000000,0,22,1448.868408,991.606018,0.150000,0.300000,0.000000
0,0,0,0.000000,0,23,1528.450928,991.189453,0.200000,0.300000,0.000000
0,1,0,0.000000,0,2,764.664185,889.149780,0.150000,0.050000,0.000000
0,1,0,0.000000,0,6,755.661377,830.623108,0.150000,0.100000,0.000000
0,1,0,0.000000,0,11,813.811401,750.551941,0.200000,0.150000,0.000000
0,1,0,0.000000,0,12,595.918945,745.605103,0.050000,0.200000,0.000000
0,1,0,0.000000,0,15,806.913574,691.314636,0.200000,0.200000,0.000000
0,1,0,0.000000,0,16,583.807129,681.526245,0.050000,0.250000,0.000000
0,1,0,0.000000,0,17,656.811157,663.256897,0.100000,0.250000,0.000000
0,1,0,0.000000,0,18,727.715454,645.520020,0.150000,0.250000,0.000000
0,1,0,0.000000,0,19,796.934814,627.530457,0.200000,0.250000,0.000000
0,1,0,0.000000,0,20,571.578247,614.361145,0.050000,0.300000,0.000000
0,1,0,0.000000,0,21,646.051514,597.444580,0.100000,0.300000,0.000000
0,1,0,0.000000,0,22,716.689941,582.048279,0.150000,0.300000,0.000000
0,1,0,0.000000,0,23,786.318115,562.872375,0.200000,0.300000,0.000000
0,2,0,0.000000,0,0,304.909180,514.840942,0.050000,0.050000,0.000000
0,2,0,0.000000,0,1,354.235474,520.631287,0.100000,0.050000,0.000000
0,2,0,0.000000,0,2,404.927002,524.801147,0.150000,0.050000,0.000000
0,2,0,0.000000,0,3,457.857117,529.598328,0.200000,0.050000,0.000000
0,2,0,0.000000,0,4,304.496155,463.742157,0.050000,0.100000,0.000000
0,2,0,0.000000,0,5,355.166870,468.792542,0.100000,0.100000,0.000000
0,2,0,0.000000,0,6,406.260986,472.421356,0.150000,0.100000,0.000000
0,2,0,0.000000,0,7,459.065918,477.338196,0.200000,0.100000,0.000000
0,2,0,0.000000,0,8,304.725342,411.219482,0.050000,0.150000,0.000000
0,2,0,0.000000,0,9,354.538330,415.576996,0.100000,0.150000,0.000000
0,2,0,0.000000,0,10,406.587646,419.004639,0.150000,0.150000,0.000000
0,2,0,0.000000,0,11,460.524475,422.656250,0.200000,0.150000,0.000000
0,2,0,0.000000,0,12,304.898254,357.426270,0.050000,0.200000,0.000000
0,2,0,0.000000,0,13,355.618408,361.611938,0.100000,0.200000,0.000000
0,2,0,0.000000,0,14,407.626648,365.178802,0.150000,0.200000,0.000000
0,2,0,0.000000,0,15,461.050476,369.112305,0.200000,0.200000,0.000000
0,2,0,0.000000,0,16,304.532898,303.538513,0.050000,0.250000,0.000000
0,2,0,0.000000,0,17,355.830566,307.172455,0.100000,0.250000,0.000000
0,2,0,0.000000,0,18,408.632629,310.455292,0.150000,0.250000,0.000000
0,2,0,0.000000,0,19,461.954529,313.312927,0.200000,0.250000,0.000000
0,2,0,0.000000,0,20,304.286316,248.907120,0.050000,0.300000,0.000000
0,2,0,0.000000,0,21,356.461060,251.811386,0.100000,0.300000,0.000000
0,2,0,0.000000,0,22,408.449463,255.354584,0.150000,0.300000,0.000000
0,2,0,0.000000,0,23,462.634460,257.406616,0.200000,0.300000,0.000000
1,0,1,0.033333,0,0,1281.495972,1399.640015,0.050000,0.050000,0.000000
1,0,1,0.033333,0,1,1363.727051,1401.678955,0.100000,0.050000,0.000000
1,0,1,0.033333,0,2,1447.447266,1403.817749,0.150000,0.050000,0.000000
1,0,1,0.033333,0,3,1532.613525,1406.646484,0.200000,0.050000,0.000000
1,0,1,0.033333,0,4,1282.801514,1314.298096,0.050000,0.100000,0.000000
1,0,1,0.033333,0,5,1363.787964,1316.103882,0.100000,0.100000,0.000000
1,0,1,0.033333,0,6,1447.412964,1317.734619,0.150000,0.100000,0.000000
1,0,1,0.033333,0,7,1530.778198,1319.583618,0.200000,0.100000,0.000000
1,0,1,0.033333,0,8,1284.230469,1231.695679,0.050000,0.150000,0.000000
1,0,1,0.033333,0,9,1364.406128,1232.673096,0.100000,0.150000,0.000000
1,0,1,0.033333,0,10,1445.615845,1233.021240,0.150000,0.150000,0.000000
1,0,1,0.033333,0,11,1529.341309,1235.167847,0.200000,0.150000,0.000000
1,0,1,0.033333,0,12,1285.000732,1151.154907,0.050000,0.200000,0.000000
1,0,1,0.033333,0,13,1364.597290,1151.239746,0.100000,0.200000,0.000000
1,0,1,0.033333,0,14,1445.852417,1152.241699,0.150000,0.200000,0.000000
