sync_index,cam_id,frame_index,frame_time,object_id,keypoint_id,img_loc_x,img_loc_y,obj_loc_x,obj_loc_y,obj_loc_z
15,1,15,0.500000,0,7,801.973877,818.923157,0.200000,0.100000,0.000000
15,1,15,0.500000,0,8,584.015015,815.638733,0.050000,0.150000,0.000000
15,1,15,0.500000,0,9,656.660645,797.856689,0.100000,0.150000,0.000000
15,1,15,0.500000,0,10,725.546875,778.372253,0.150000,0.150000,0.000000
15,1,15,0.500000,0,11,793.485474,758.532532,0.200000,0.150000,0.000000
15,1,15,0.500000,0,12,573.116577,754.555908,0.050000,0.200000,0.000000
15,1,15,0.500000,0,13,646.369629,735.484863,0.100000,0.200000,0.000000
15,1,15,0.500000,0,14,715.780884,717.222229,0.150000,0.200000,0.000000
15,1,15,0.500000,0,15,785.093140,699.656189,0.200000,0.200000,0.000000
15,1,15,0.500000,0,16,560.154175,689.056213,0.050000,0.250000,0.000000
15,1,15,0.500000,0,17,634.312012,671.888245,0.100000,0.250000,0.000000
15,1,15,0.500000,0,18,706.206787,654.148376,0.150000,0.250000,0.000000
15,1,15,0.500000,0,19,775.338623,636.657410,0.200000,0.250000,0.000000
15,1,15,0.500000,0,20,547.333374,623.496765,0.050000,0.300000,0.000000
15,1,15,0.500000,0,21,621.088257,604.729553,0.100000,0.300000,0.000000
15,1,15,0.500000,0,22,696.269531,588.243469,0.150000,0.300000,0.000000
15,1,15,0.500000,0,23,766.454834,572.670715,0.200000,0.300000,0.000000
20,1,20,0.666667,0,0,612.968140,936.533325,0.050000,0.050000,0.000000
20,1,20,0.666667,0,1,682.320679,916.995667,0.100000,0.050000,0.000000
20,1,20,0.666667,0,2,748.202393,896.921387,0.150000,0.050000,0.000000
20,1,20,0.666667,0,3,813.023926,876.331116,0.200000,0.050000,0.000000
20,1,20,0.666667,0,4,601.803223,876.680969,0.050000,0.100000,0.000000
20,1,20,0.666667,0,5,671.606934,858.393005,0.100000,0.100000,0.000000
20,1,20,0.666667,0,6,739.047485,838.173584,0.150000,0.100000,0.000000
20,1,20,0.666667,0,7,801.936768,817.539795,0.200000,0.100000,0.000000
20,1,20,0.666667,0,8,590.816772,817.152649,0.050000,0.150000,0.000000
20,1,20,0.666667,0,9,660.143555,797.977173,0.100000,0.150000,0.000000
20,1,20,0.666667,0,10,728.525024,778.265198,0.150000,0.150000,0.000000
20,1,20,0.666667,0,11,795.471191,759.687500,0.200000,0.150000,0.000000
20,1,20,0.666667,0,12,576.714966,753.740173,0.050000,0.200000,0.000000
20,1,20,0.666667,0,13,648.384521,735.443726,0.100000,0.200000,0.000000
20,1,20,0.666667,0,14,718.627808,717.229675,0.150000,0.200000,0.000000
20,1,20,0.666667,0,15,788.501709,699.215210,0.200000,0.200000,0.000000
20,1,20,0.666667,0,16,563.926270,689.782532,0.050000,0.250000,0.000000
20,1,20,0.666667,0,17,636.812378,672.170471,0.100000,0.250000,0.000000
20,1,20,0.666667,0,18,706.654663,652.974976,0.150000,0.250000,0.000000
20,1,20,0.666667,0,19,777.158691,636.774841,0.200000,0.250000,0.000000
20,1,20,0.666667,0,20,549.622559,623.622681,0.050000,0.300000,0.000000
20,1,20,0.666667,0,21,623.689087,605.567566,0.100000,0.300000,0.000000
20,1,20,0.666667,0,22,697.464600,589.096680,0.150000,0.300000,0.000000
20,1,20,0.666667,0,23,766.576172,571.646484,0.200000,0.300000,0.000000
25,1,25,0.833333,0,0,611.742554,936.445740,0.050000,0.050000,0.000000
25,1,25,0.833333,0,1,682.578125,919.030090,0.100000,0.050000,0.000000
25,1,25,0.833333,0,2,748.611938,897.702393,0.150000,0.050000,0.000000
25,1,25,0.833333,0,3,814.583862,877.140991,0.200000,0.050000,0.000000
25,1,25,0.833333,0,4,602.778076,878.627991,0.050000,0.100000,0.000000
25,1,25,0.833333,0,5,671.125732,858.921631,0.100000,0.100000,0.000000
25,1,25,0.833333,0,6,741.040527,838.918335,0.150000,0.100000,0.000000
25,1,25,0.833333,0,7,805.498535,819.584595,0.200000,0.100000,0.000000
25,1,25,0.833333,0,8,590.007080,817.838989,0.050000,0.150000,0.000000
25,1,25,0.833333,0,9,661.915649,798.835938,0.100000,0.150000,0.000000
25,1,25,0.833333,0,10,728.862183,778.996216,0.150000,0.150000,0.000000
25,1,25,0.833333,0,11,797.316650,761.399353,0.200000,0.150000,0.000000
25,1,25,0.833333,0,12,578.639893,755.303040,0.050000,0.200000,0.000000
25,1,25,0.833333,0,13,649.239380,736.265808,0.100000,0.200000,0.000000
25,1,25,0.833333,0,14,721.500366,717.049744,0.150000,0.200000,0.000000
25,1,25,0.833333,0,15,789.927246,700.579346,0.200000,0.200000,0.000000
25,1,25,0.833333,0,16,564.751587,690.509644,0.050000,0.250000,0.000000
25,1,25,0.833333,0,17,639.068359,673.213257,0.100000,0.250000,0.000000
25,1,25,0.833333,0,18,710.236694,654.701416,0.150000,0.250000,0.000000
25,1,25,0.833333,0,19,780.042969,637.908081,0.200000,0.250000,0.000000
25,1,25,0.833333,0,20,552.383545,625.479614,0.050000,0.300000,0.000000
25,1,25,0.833333,0,21,626.406860,607.151978,0.100000,0.300000,0.000000
25,1,25,0.833333,0,22,700.465332,590.056274,0.150000,0.300000,0.000000
25,1,25,0.833333,0,23,770.520996,573.707581,0.200000,0.300000,0.000000
30,1,30,1.000000,0,0,617.450195,936.528931,0.050000,0.050000,0.000000
30,1,30,1.000000,0,1,685.735352,916.662720,0.100000,0.050000,0.000000
30,1,30,1.000000,0,2,750.106079,896.960815,0.150000,0.050000,0.000000
30,1,30,1.000000,0,3,816.540161,877.470032,0.200000,0.050000,0.000000
30,1,30,1.000000,0,4,603.854248,877.267822,0.050000,0.100000,0.000000
30,1,30,1.000000,0,5,674.808472,857.979126,0.100000,0.100000,0.000000
30,1,30,1.000000,0,6,742.050659,839.145386,0.150000,0.100000,0.000000
30,1,30,1.000000,0,7,807.976562,819.431824,0.200000,0.100000,0.000000
30,1,30,1.000000,0,8,590.815918,815.387451,0.050000,0.150000,0.000000
30,1,30,1.000000,0,9,663.649292,797.379700,0.100000,0.150000,0.000000
30,1,30,1.000000,0,10,731.943481,778.260254,0.150000,0.150000,0.000000
30,1,30,1.000000,0,11,799.451050,759.950928,0.200000,0.150000,0.000000
30,1,30,1.000000,0,12,581.032959,751.874207,0.050000,0.200000,0.000000
30,1,30,1.000000,0,13,653.504272,735.254578,0.100000,0.200000,0.000000
30,1,30,1.000000,0,14,722.897461,717.014221,0.150000,0.200000,0.000000
30,1,30,1.000000,0,15,792.313721,699.950012,0.200000,0.200000,0.000000
30,1,30,1.000000,0,16,568.434204,688.498047,0.050000,0.250000,0.000000
30,1,30,1.000000,0,17,640.567261,671.653137,0.100000,0.250000,0.000000
30,1,30,1.000000,0,18,711.439453,653.120728,0.150000,0.250000,0.000000
30,1,30,1.000000,0,19,782.449219,635.677979,0.200000,0.250000,0.000000
30,1,30,1.000000,0,20,554.442139,622.131775,0.050000,0.300000,0.000000
30,1,30,1.000000,0,21,631.164062,605.357178,0.100000,0.300000,0.000000
30,1,30,1.000000,0,22,700.672729,590.526245,0.150000,0.300000,0.000000
30,1,30,1.000000,0,23,772.317749,572.095764,0.200000,0.300000,0.000000
35,1,35,1.166667,0,0,618.720581,933.815857,0.050000,0.050000,0.000000
35,1,35,1.166667,0,1,690.040894,914.657471,0.100000,0.050000,0.000000
35,1,35,1.166667,0,2,757.959473,895.426819,0.150000,0.050000,0.000000
35,1,35,1.166667,0,3,821.658813,873.927002,0.200000,0.050000,0.000000
35,1,35,1.166667,0,4,607.703369,873.748840,0.050000,0.100000,0.000000
35,1,35,1.166667,0,5,677.906006,854.326172,0.100000,0.100000,0.000000
35,1,35,1.166667,0,6,746.300171,834.979370,0.150000,0.100000,0.000000
35,1,35,1.166667,0,7,809.817505,814.757812,0.200000,0.100000,0.000000
35,1,35,1.166667,0,8,596.578247,811.590881,0.050000,0.150000,0.000000
35,1,35,1.166667,0,9,666.933105,792.493164,0.100000,0.150000,0.000000
35,1,35,1.166667,0,10,733.203857,772.160278,0.150000,0.150000,0.000000
35,1,35,1.166667,0,11,801.883667,755.231812,0.200000,0.150000,0.000000
